heavy metal,ppm,R,G,B,dR,dG,dB,ED,,X,Y,Z,dX,dY,dZ,L,a,b,deltaE,deltaL,deltaa,deltab,Group,ppm
Cu,5,100.792,82.459,54.45,-29.173,-13.243,6.589,32.70865175,,9.07235738,9.129789638,4.829321514,-4.815360555,-4.137986105,0.219120548,36.2329931,3.363599795,19.26143528,15.57911564,-6.930984411,-4.969764818,-13.03732092,Cu,5ppm
Cu,10,93.063,77.488,54.075,-36.902,-18.214,6.214,41.61876014,,7.876558627,7.974144152,4.622824853,-6.011159308,-5.293631591,0.012623888,33.92897878,2.778616049,16.31277649,19.27931484,-9.234998731,-5.554748564,-15.98597971,Cu,10ppm
Cu,15,87.103,70.886,51.79,-42.862,-24.816,3.929,49.68321589,,6.801387059,6.769543202,4.171803112,-7.086330876,-6.498232542,-0.438397853,31.27640495,3.804394742,14.08651668,22.21512139,-11.88757257,-4.528969871,-18.21223953,Cu,15ppm
Cu,20,82.057,68.042,52.064,-47.908,-27.66,4.203,55.47898046,,6.175697216,6.184485475,4.124128957,-7.712020719,-7.083290268,-0.486072008,29.87321521,3.281334355,11.92504462,24.84462711,-13.2907623,-5.052030258,-20.37371159,Cu,20ppm
Cu,25,75.64,62.134,47.768,-54.325,-33.568,-0.093,63.85941511,,5.210715995,5.193342415,3.498643272,-8.67700194,-8.074433328,-1.111557693,27.27864369,3.39699421,11.03503267,26.99736139,-15.88533383,-4.936370402,-21.26372354,Cu,25ppm
Cu,30,84.727,68.738,51.862,-45.238,-26.964,4.001,52.81611441,,6.450495404,6.389602394,4.125418767,-7.437222531,-6.878173349,-0.484782198,30.37485883,4.057355956,12.78294607,23.72156513,-12.78911868,-4.276008657,-19.51581014,Cu,30ppm
Cu,35,82.758,67.477,49.816,-47.207,-28.225,1.955,55.03611086,,6.153504444,6.128251925,3.854966593,-7.734213491,-7.139523818,-0.755234372,29.73375484,3.641385954,13.17880749,23.83186908,-13.43022268,-4.691978659,-19.11994871,Cu,35ppm
Cu,40,84.959,69.334,52.313,-45.006,-26.368,4.452,52.35104358,,6.518377449,6.47788064,4.192229845,-7.369340486,-6.789895103,-0.41797112,30.58745323,3.853927547,12.78880264,23.64048662,-12.57652428,-4.479437066,-19.50995356,Cu,40ppm
Hg,0,156.1183333,108.915,59.13366667,0,0,0,0,,19.98691727,18.31762612,6.638008212,0,0,0,49.87910939,13.36860041,34.86996167,0,0,0,0,Hg,0ppm
Hg,5,146.119,90.984,52.079,-9.999333333,-17.931,-7.054666667,21.70888643,,16.23771895,13.85149904,5.075921385,-3.749198326,-4.466127084,-1.562086827,44.01920629,18.73426572,31.50087808,8.630153692,-5.859903094,5.365665311,-3.369083593,Hg,5ppm
Hg,10,149.464,96.049,59.779,-6.654333333,-12.866,0.645333333,14.49932975,,17.47752831,15.13342665,6.24409311,-2.509388965,-3.184199472,-0.393915102,45.81640547,17.87638839,29.4541956,8.133648486,-4.062703917,4.507787975,-5.415766072,Hg,10ppm
Hg,15,146.135,87.003,61.451,-9.983333333,-21.912,2.317333333,24.19034357,,16.1421218,13.28357713,6.191781389,-3.844795474,-5.034048987,-0.446226824,43.1874555,21.77386869,25.13750891,14.49646175,-6.691653885,8.40526828,-9.732452766,Hg,15ppm
Hg,20,146.18,88.082,68.951,-9.938333333,-20.833,9.817333333,25.08314957,,16.45622251,13.55096783,7.370014879,-3.530694767,-4.766658289,0.732006666,43.58195658,21.85787308,21.2196638,17.26419752,-6.297152812,8.48927267,-13.65029788,Hg,20ppm
Hg,25,146.617,91.019,65.42,-9.501333333,-17.896,6.286333333,21.21462085,,16.6741604,14.04113421,6.896060799,-3.312756873,-4.276491908,0.258052587,44.29186519,20.02274856,24.22970988,13.73717378,-5.587244199,6.654148143,-10.64025179,Hg,25ppm
Hg,30,143.768,85.244,65.863,-12.35033333,-23.671,6.729333333,27.53417697,,15.70920188,12.83709512,6.782524579,-4.27771539,-5.480531,0.144516367,42.51675603,22.16700101,21.60911122,17.53471571,-7.36235336,8.798400595,-13.26085046,Hg,30ppm
Hg,35,147.347,82.769,68.191,-8.771333333,-26.146,9.057333333,29.02731285,,16.22087154,12.80766901,7.116186414,-3.766045734,-5.509957112,0.478178202,42.47200972,25.30723165,20.25264417,20.2746643,-7.407099671,11.93863124,-14.6173175,Hg,35ppm
Hg,40,143.848,79.06033333,63.9,-12.27033333,-29.85466667,4.766333333,32.62790424,,15.19903472,11.88684042,6.328534887,-4.787882551,-6.430785703,-0.309473326,41.03570315,25.54771915,20.86549153,20.55874391,-8.843406241,12.17911873,-14.00447015,Hg,40ppm
Mn,0,141.102,108.077,65.09633333,0,0,0,0,,17.33028859,16.796906,7.34396982,0,0,0,48.00311133,7.650241935,28.93847186,0,0,0,0,Cd-Mn,0ppm
Mn,5,141.062,102.412,54.148,-0.04,-5.665,-10.94833333,12.3271987,,16.45730438,15.52103104,5.636630447,-0.872984216,-1.275874958,-1.707339373,46.33971968,9.977069978,32.94334483,4.921382737,-1.663391652,2.326828043,4.004872971,Cd-Mn,5ppm
Mn,10,149.336,109.027,56.548,8.234,0.95,-8.548333333,11.90694162,,18.65571912,17.65653831,6.236730428,1.32543053,0.859632313,-1.107239392,49.07684798,10.07331965,35.10597427,6.712846045,1.073736656,2.423077718,6.167502411,Cd-Mn,10ppm
Mn,15,146.9,103.125,54.502,5.798,-4.952,-10.59433333,13.05293097,,17.55617847,16.1916482,5.752083427,0.225889878,-0.605257794,-1.591886393,47.22492784,12.2310297,33.96408383,6.844410989,-0.778183488,4.580787766,5.025611972,Cd-Mn,15ppm
Mn,20,147.325,108.324,54.403,6.223,0.247,-10.69333333,12.374737,,18.16420818,17.29819742,5.921325305,0.833919591,0.501291423,-1.422644515,48.63358901,9.409288563,35.66390935,6.980204627,0.630477682,1.759046627,6.725437495,Cd-Mn,20ppm
Mn,25,147.875,100.953,52.999,6.773,-7.124,-12.09733333,15.58750714,,17.48297448,15.84096146,5.504179644,0.152685888,-0.955944541,-1.839790176,46.76513997,13.81654546,34.265306,8.242028523,-1.237971359,6.166303523,5.32683414,Cd-Mn,25ppm
Mn,30,150.935,104.391,56.625,9.833,-3.686,-8.471333333,13.49214488,,18.47055571,16.84578593,6.100002447,1.140267117,0.048879933,-1.243967373,48.06513541,13.46959795,33.92919889,7.666557756,0.062024082,5.819356018,4.990727038,Cd-Mn,30ppm
Mn,35,152.349,103.09,53.9,11.247,-4.987,-11.19633333,16.63499498,,18.53825637,16.69449956,5.723020204,1.207967776,-0.102406442,-1.620949616,47.87277589,14.65214396,35.20766757,9.39927838,-0.130335437,7.00190202,6.269195709,Cd-Mn,35ppm
Mn,40,146.7473333,107.0733333,57.24266667,5.645333333,-1.003666667,-7.853666667,9.724053442,,17.99832155,17.00954623,6.237128491,0.668032958,0.212640227,-1.106841329,48.27206178,10.08817529,33.71677166,5.371033639,0.26895045,2.437933351,4.7782998,Cd-Mn,40ppm
Ni,0,150.747,117.166,86.389,0,0,0,0,,20.79239955,19.99575967,11.6490632,0,0,0,51.83241699,8.890869119,22.00710687,0,0,0,0,Ni,0ppm
Ni,5,136.716,98.283,58.249,-14.031,-18.883,-28.14,36.67828036,,15.43515629,14.39196529,6.00042517,-5.357243262,-5.603794379,-5.648638028,44.78988991,10.76404571,28.70092804,9.895110915,-7.042527075,1.873176592,6.693821171,Ni,5ppm
Ni,10,131.737,94.587,56.179,-19.01,-22.579,-30.21,42.2354761,,14.2487152,13.28287427,5.576986928,-6.543684345,-6.7128854,-6.07207627,43.18641158,10.49901924,27.77044862,10.51454538,-8.64600541,1.60815012,5.763341747,Ni,10ppm
Ni,15,132.65,98.259,59.656,-18.097,-18.907,-26.733,37.41162048,,14.81693748,14.06563602,6.161106183,-5.97546207,-5.930123654,-5.487957016,44.32691462,9.067914245,27.22931231,9.145235942,-7.50550237,0.177045127,5.222205439,Ni,15ppm
Ni,20,140.267,102.551,63.894,-10.48,-14.615,-22.495,28.80023698,,16.5892162,15.58019294,6.967226164,-4.203183345,-4.415566737,-4.681837034,46.41882653,10.37869591,27.62358729,7.941375351,-5.413590458,1.487826788,5.616480416,Ni,20ppm
Ni,25,126.213,86.9,52.48,-24.534,-30.266,-33.909,51.65044233,,12.66717267,11.50530449,4.858696821,-8.125226876,-8.490455186,-6.790366378,40.41882383,12.21318204,26.33513242,12.65067892,-11.41359316,3.32231292,4.328025545,Ni,25ppm
Ni,30,131.21,97.023,62.582,-19.537,-20.143,-23.807,36.79956613,,14.55570858,13.75091122,6.528197652,-6.236690971,-6.244848458,-5.120865546,43.87356925,9.431167512,24.95204903,8.503403083,-7.958847739,0.540298393,2.944942156,Ni,30ppm
Ni,35,127.579,91.068,58.788,-23.168,-26.098,-27.601,44.49356166,,13.37040338,12.36494051,5.790521592,-7.421996165,-7.630819166,-5.858541607,41.79035109,10.94278836,24.42733404,10.53142723,-10.0420659,2.051919238,2.420227168,Ni,35ppm
Ni,40,130.907,93.429,53.326,-19.84,-23.737,-33.063,45.27949578,,13.94870621,12.98318393,5.17825632,-6.843693336,-7.012575747,-6.470806879,42.73789687,10.55485972,28.81120913,11.47932787,-9.094520118,1.663990602,6.804102254,Ni,40ppm
Pb,0,148.2053333,109.2663333,71.022,0,0,0,0,,18.88596708,17.7657448,8.39812288,0,0,0,49.21074007,10.68674291,27.29811337,0,0,0,0,Pb,0ppm
Pb,5,138.15,97.697,61.447,-10.05533333,-11.56933333,-9.575,18.07317978,,15.70070349,14.43776352,6.437182059,-3.185263584,-3.327981282,-1.96094082,44.85430365,12.04187498,27.00845718,4.571522925,-4.356436413,1.355132066,-0.289656189,Pb,5ppm
Pb,10,144.324,104.496,65.433,-3.881333333,-4.770333333,-5.589,8.310099251,,17.52630918,16.34722405,7.298234601,-1.359657894,-1.418520752,-1.099888279,47.42677953,11.19939942,28.11414794,2.027620355,-1.783960534,0.512656504,0.816034574,Pb,10ppm
Pb,15,147.008,102.998,74.97,-1.197333333,-6.268333333,3.948,7.504153109,,18.15396038,16.41277387,8.86169055,-0.732006697,-1.352970934,0.46356767,47.51144364,14.19195058,22.8298215,5.927876631,-1.699296432,3.50520767,-4.468291863,Pb,15ppm
Pb,20,144.134,105.691,74.826,-4.071333333,-3.575333333,3.804,6.620360984,,17.91211333,16.69265615,8.9026374,-0.973853745,-1.073088652,0.50451452,47.87042486,11.36021534,23.31546478,4.255760767,-1.34031521,0.673472425,-3.982648582,Pb,20ppm
Pb,25,141,104.227,79.173,-7.205333333,-5.039333333,8.151,11.98960007,,17.37597015,16.17722852,9.63597914,-1.509996923,-1.588516275,1.23785626,47.20615367,11.33430439,19.84927106,7.740991807,-2.004586393,0.647561474,-7.448842305,Pb,25ppm
